X,Y,name,datetime
-7.2308696,57.6705792,EA49502,2023-07-10T03:57:00.000000Z
-7.238928,57.673664,EA49503,2023-07-10T04:00:00.000000Z
-7.2308504,57.6706112,EA49570,2023-07-10T04:01:00.000000Z
-7.2302904,57.66944,EA49571,2023-07-10T04:02:00.000000Z
-7.2302704,57.6693632,EA49568,2023-07-10T04:03:00.000000Z
-7.2376696,57.6738688,EA49502,2023-07-10T05:58:00.000000Z
-7.2378352,57.673824,EA49503,2023-07-10T06:00:00.000000Z
-7.2389448,57.6736512,EA49570,2023-07-10T06:01:00.000000Z
-7.238908,57.6736896,EA49571,2023-07-10T06:02:00.000000Z
-7.238252,57.6738112,EA49568,2023-07-10T06:03:00.000000Z
-7.2391464,57.673792,EA49502,2023-07-10T07:53:00.000000Z
-7.2389664,57.6738944,EA49502,2023-07-10T07:57:00.000000Z
-7.2394072,57.6735552,EA49570,2023-07-10T08:01:00.000000Z
-7.2389144,57.6737088,EA49571,2023-07-10T08:01:00.000000Z
-7.2388848,57.6738304,EA49568,2023-07-10T08:03:00.000000Z
-7.2383568,57.6740928,EA49502,2023-07-10T08:07:00.000000Z
-7.2382952,57.674496,EA49502,2023-07-10T08:12:00.000000Z
-7.2380624,57.6747264,EA49502,2023-07-10T08:17:00.000000Z
-7.2380792,57.67472,EA49502,2023-07-10T08:22:00.000000Z
-7.2379056,57.6749248,EA49502,2023-07-10T08:27:00.000000Z
-7.2383312,57.6748224,EA49502,2023-07-10T08:32:00.000000Z
-7.2384504,57.6746752,EA49502,2023-07-10T08:37:00.000000Z
-7.238448,57.67472,EA49502,2023-07-10T08:42:00.000000Z
-7.2385728,57.6746304,EA49502,2023-07-10T08:47:00.000000Z
-7.2382328,57.6745984,EA49502,2023-07-10T08:52:00.000000Z
-7.2382128,57.6747392,EA49502,2023-07-10T08:57:00.000000Z
-7.2388304,57.6736896,EA49571,2023-07-10T08:57:00.000000Z
-7.2383048,57.6746496,EA49502,2023-07-10T09:02:00.000000Z
-7.2382672,57.6747072,EA49502,2023-07-10T09:07:00.000000Z
-7.2382824,57.6746816,EA49502,2023-07-10T09:12:00.000000Z
-7.2382424,57.6746688,EA49502,2023-07-10T09:17:00.000000Z
-7.2382504,57.6746688,EA49502,2023-07-10T09:22:00.000000Z
-7.2382632,57.674688,EA49502,2023-07-10T09:27:00.000000Z
-7.2383112,57.674688,EA49502,2023-07-10T09:32:00.000000Z
-7.2382232,57.6746944,EA49502,2023-07-10T09:37:00.000000Z
-7.2382544,57.6746624,EA49502,2023-07-10T09:42:00.000000Z
-7.2382848,57.6747264,EA49502,2023-07-10T09:47:00.000000Z
-7.238144,57.6746816,EA49502,2023-07-10T09:52:00.000000Z
-7.2302464,57.6693824,EA49502,2023-07-10T09:57:00.000000Z
-7.230336,57.6693696,EA49502,2023-07-10T09:59:00.000000Z
-7.2306776,57.67056,EA49570,2023-07-10T10:00:00.000000Z
-7.2388984,57.6737536,EA49571,2023-07-10T10:01:00.000000Z
-7.2303216,57.6693888,EA49502,2023-07-10T10:02:00.000000Z
-7.2308816,57.6705984,EA49568,2023-07-10T10:03:00.000000Z
-7.2388632,57.6737024,EA49571,2023-07-10T10:06:00.000000Z
-7.2388432,57.6736256,EA49571,2023-07-10T10:11:00.000000Z
-7.2388424,57.6736896,EA49571,2023-07-10T10:16:00.000000Z
-7.2389208,57.673696,EA49571,2023-07-10T10:21:00.000000Z
-7.238912,57.6736768,EA49571,2023-07-10T10:26:00.000000Z
-7.2388288,57.673664,EA49571,2023-07-10T10:31:00.000000Z
-7.2388584,57.673664,EA49571,2023-07-10T10:36:00.000000Z
-7.2388632,57.6736448,EA49571,2023-07-10T10:41:00.000000Z
-7.23886,57.6736512,EA49571,2023-07-10T10:46:00.000000Z
-7.238848,57.6736192,EA49571,2023-07-10T10:51:00.000000Z
-7.2383256,57.6735232,EA49571,2023-07-10T10:56:00.000000Z
-7.2383944,57.673568,EA49571,2023-07-10T11:01:00.000000Z
-7.2384368,57.6735808,EA49571,2023-07-10T11:06:00.000000Z
-7.2383472,57.6735232,EA49571,2023-07-10T11:12:00.000000Z
-7.2384016,57.6735616,EA49571,2023-07-10T11:16:00.000000Z
-7.2383248,57.6734976,EA49571,2023-07-10T11:21:00.000000Z
-7.2384232,57.673568,EA49571,2023-07-10T11:26:00.000000Z
-7.2383448,57.6735168,EA49571,2023-07-10T11:31:00.000000Z
-7.2383288,57.6735168,EA49568,2023-07-10T11:33:00.000000Z
-7.238464,57.6736,EA49571,2023-07-10T11:36:00.000000Z
-7.2382832,57.6735168,EA49568,2023-07-10T11:38:00.000000Z
-7.2383664,57.6735488,EA49571,2023-07-10T11:42:00.000000Z
-7.2383552,57.673568,EA49568,2023-07-10T11:43:00.000000Z
-7.2383872,57.6735552,EA49571,2023-07-10T11:43:00.000000Z
-7.2383368,57.6735168,EA49571,2023-07-10T11:44:00.000000Z
-7.2383752,57.6735168,EA49571,2023-07-10T11:45:00.000000Z
-7.2383128,57.6735104,EA49571,2023-07-10T11:46:00.000000Z
-7.238404,57.6735104,EA49571,2023-07-10T11:47:00.000000Z
-7.2384168,57.6735104,EA49571,2023-07-10T11:48:00.000000Z
-7.2383992,57.6735296,EA49571,2023-07-10T11:49:00.000000Z
-7.2383152,57.673536,EA49571,2023-07-10T11:50:00.000000Z
